ID,Name,Group,Calories,Fat,Protein,Carbohydrate,Sugars,Fiber,Saturated Fats,Calcium,"Iron, Fe","Potassium, K",Magnesium,Net-Carbs,PRAL score,Sucrose,Glucose (Dextrose),Fructose,"Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated"
170901,Nonfat Greek Strawberry Yogurt,Dairy and Egg Products,82,0.15,8.05,12.07,11.27,0.6,0.105,97,0.09,132,10,11.47,3.816,5.41,0.65,2.19,26,14
170902,Nonfat Greek Vanilla Yogurt,Dairy and Egg Products,78,0.18,8.64,10.37,9.54,0.5,0.133,99,0.04,123,10,9.87,4.491,4.07,0.32,1.92,39,9
170904,Kefir Lowfat Plain Lifeway,Dairy and Egg Products,43,1.02,3.79,4.77,4.61,0,0.658,130,0.04,164,12,4.77,0.276,0,0,0,310,53
170924,Curry Powder,Spices and Herbs,325,14.01,14.29,55.83,2.76,53.2,1.648,525,19.1,1170,255,2.63,-17.637,0.62,1.14,0.79,8782,3056
170926,Ground Ginger,Spices and Herbs,335,4.24,8.98,71.62,3.39,14.1,2.599,114,19.8,1320,214,57.52,-24.346,0.2,1.22,1.78,479,929
170930,Dried Parsley,Spices and Herbs,292,5.48,26.63,50.64,7.27,26.7,1.378,1140,22.04,2683,400,23.94,-52.771,4.09,2.76,0.42,761,3124
170931,Black Pepper,Spices and Herbs,251,3.26,10.39,63.95,0.64,25.3,1.392,443,9.71,1329,171,38.65,-27.361,0.02,0.24,0.23,739,998
170952,Babyfood Fruit And Vegetable Apple And Sweet Potato,Baby Foods,64,0.22,0.3,15.3,11.6,1.4,0.041,8,0.2,149,6,13.9,-2.63,0.65,3.12,7.06,8,79
170965,Babyfood Cereal Mixed With Bananas Dry,Baby Foods,391,4.6,10.7,77.1,6.68,7.8,0.846,696,47.5,668,90,69.3,-6.688,1.82,2.44,2.36,1223,1734
170969,Babyfood Cereal Rice Dry Fortified,Baby Foods,390,2.19,6.65,83.14,4.85,1.3,0.234,860,53.01,281,37,81.84,-4.723,0.21,2.38,0.1,420,784
